Date,Sunrise,Sunset,Solar Noon,Day Length
"Fri, October 1",6:52 AM,6:38 PM,12:45 PM,11:45:06
"Sat, October 2",6:54 AM,6:36 PM,12:45 PM,11:42:26
"Sun, October 3",6:55 AM,6:34 PM,12:44 PM,11:39:45
"Mon, October 4",6:56 AM,6:33 PM,12:44 PM,11:37:05
"Tue, October 5",6:57 AM,6:31 PM,12:44 PM,11:34:25
"Wed, October 6",6:58 AM,6:29 PM,12:44 PM,11:31:46
"Thu, October 7",6:59 AM,6:28 PM,12:43 PM,11:29:06
"Fri, October 8",7:00 AM,6:26 PM,12:43 PM,11:26:28
"Sat, October 9",7:01 AM,6:25 PM,12:43 PM,11:23:49
"Sun, October 10",7:02 AM,6:23 PM,12:42 PM,11:21:10
"Mon, October 11",7:03 AM,6:21 PM,12:42 PM,11:18:32
"Tue, October 12",7:04 AM,6:20 PM,12:42 PM,11:15:54
"Wed, October 13",7:05 AM,6:18 PM,12:42 PM,11:13:16
"Thu, October 14",7:06 AM,6:17 PM,12:41 PM,11:10:40
"Fri, October 15",7:07 AM,6:15 PM,12:41 PM,11:08:03
"Sat, October 16",7:08 AM,6:14 PM,12:41 PM,11:05:28
"Sun, October 17",7:09 AM,6:12 PM,12:41 PM,11:02:52
"Mon, October 18",7:10 AM,6:11 PM,12:41 PM,11:00:17
"Tue, October 19",7:12 AM,6:09 PM,12:40 PM,10:57:43
"Wed, October 20",7:13 AM,6:08 PM,12:40 PM,10:55:10
"Thu, October 21",7:14 AM,6:06 PM,12:40 PM,10:52:36
"Fri, October 22",7:15 AM,6:05 PM,12:40 PM,10:50:04
"Sat, October 23",7:16 AM,6:04 PM,12:40 PM,10:47:32
"Sun, October 24",7:17 AM,6:02 PM,12:40 PM,10:45:01
"Mon, October 25",7:18 AM,6:01 PM,12:40 PM,10:42:31
"Tue, October 26",7:19 AM,5:59 PM,12:39 PM,10:40:03
"Wed, October 27",7:21 AM,5:58 PM,12:39 PM,10:37:34
"Thu, October 28",7:22 AM,5:57 PM,12:39 PM,10:35:07
"Fri, October 29",7:23 AM,5:56 PM,12:39 PM,10:32:41
"Sat, October 30",7:24 AM,5:54 PM,12:39 PM,10:30:16
"Sun, October 31",7:25 AM,5:53 PM,12:39 PM,10:27:52